"Sun, 03/10/2021",277
"Mon, 04/10/2021",279
"Mon, 04/10/2021",279
"Tue, 05/10/2021",280
"Tue, 05/10/2021",280
"Wed, 06/10/2021",285
"Wed, 06/10/2021",285
"Thu, 07/10/2021",288
"Thu, 07/10/2021",288
"Fri, 08/10/2021",288
"Fri, 08/10/2021",288
"Sat, 09/10/2021",290
"Sun, 10/10/2021",292
"Mon, 11/10/2021",293
"Tue, 12/10/2021",290
"Wed, 13/10/2021",292
"Thu, 14/10/2021",294
"Fri, 15/10/2021",300
"Sat, 16/10/2021",303
"Sun, 17/10/2021",300
"Mon, 18/10/2021",302
"Tue, 19/10/2021",306
"Wed, 20/10/2021",308
"Thu, 21/10/2021",312
"Fri, 22/10/2021",317
"Sat, 23/10/2021",319
"Sun, 24/10/2021",322
"Mon, 25/10/2021",321
"Tue, 26/10/2021",323
"Wed, 27/10/2021",327
"Thu, 28/10/2021",333
"Fri, 29/10/2021",336
"Sat, 30/10/2021",345
"Sun, 31/10/2021",344
